Gid_x,Domain,Pubdate,Volume Title in Gutenberg,Author,isTranslation,isProse,isFiction
2384,Fiction,1904,The Deliverance: A Romance of the Virginia Tobacco Fields,"Glasgow, Ellen Anderson Gholson",0,1,1
21259,Fiction,1909,The Black Cross,"Briggs, Olive M. (Olive Mary)",0,1,1
7493,Fiction,1908,The Daughter of the Chieftain : the Story of an Indian Girl,"Ellis, Edward Sylvester",0,1,1
4051,Fiction,1915,Lady Bridget in the Never-Never Land: a story of Australian life,"Praed, Campbell, Mrs.",0,1,1
10667,Fiction,1914,Snake and Sword: A Novel,"Wren, Percival Christopher",0,1,1
27,Fiction,1895,Far from the Madding Crowd,"Hardy, Thomas",0,1,1
42902,Fiction,1901,Young Blood,"Hornung, E. W. (Ernest William)",0,1,1
12239,Fiction,1920,Dead Men's Money,"Fletcher, J. S. (Joseph Smith)",0,1,1
32993,Fiction,1903,A Daughter of the Union,"Madison, Lucy Foster",0,1,1
52019,Fiction,1921,Ellen Levis: A Novel,"Singmaster, Elsie",0,1,1
32455,Fiction,1885,Christmas Eve and Christmas Day: Ten Christmas stories,"Hale, Edward Everett",0,1,1
40697,Fiction,1895,"Sport Royal, and Other Stories","Hope, Anthony",0,1,1
47958,Fiction,1920,The Minister's Wooing,"Stowe, Harriet Beecher",0,1,1
5970,Fiction,1903,Lovey Mary,"Rice, Alice Caldwell Hegan",0,1,1
34996,Fiction,1909,The Delafield Affair,"Kelly, Florence Finch",0,1,1
29583,Fiction,1863,"Shoulder-Straps: A Novel of New York and the Army, 1862","Morford, Henry",0,1,1
18958,Fiction,1857,The Brother Clerks: A Tale of New-Orleans,"Townsend, Mary Ashley",0,1,1
29629,Fiction,1921,The Destroyer: A Tale of International Intrigue,"Stevenson, Burton Egbert",0,1,1
5871,Fiction,1917,Green Fancy,"McCutcheon, George Barr",0,1,1
60273,Fiction,1919,Leave it to Doris,"Hueston, Ethel",0,1,1
12314,Fiction,1910,"Ashton-Kirk, Investigator","McIntyre, John Thomas",0,1,1
30689,Fiction,1900,The Brass Bottle,"Anstey, F.",0,1,1
36679,Fiction,1921,An American,"Gue, Belle Willey",0,1,1
40484,Fiction,1919,Black Star's Campaign: A Detective Story,"McCulley, Johnston",0,1,1
51915,Fiction,1908,Lentala of the South Seas: The Romantic Tale of a Lost Colony,"Morrow, W. C.",0,1,1
29642,Fiction,1910,Hidden Water,"Coolidge, Dane",0,1,1
50203,Fiction,1906,The Wire Tappers,"Stringer, Arthur",0,1,1
58369,Fiction,1898,"Tuen, Slave and Empress","Nelson, Kathleen Gray",0,1,1
9665,Fiction,1914,Delia Blanchflower,"Ward, Humphry, Mrs.",0,1,1
53296,Fiction,1894,A Fair Jewess,"Farjeon, B. L. (Benjamin Leopold)",0,1,1
57577,Fiction,1907,Admiral's Light,"Rideout, Henry Milner",0,1,1
7895,Fiction,1871,A Terrible Temptation: A Story of To-Day,"Reade, Charles",0,1,1
33353,Fiction,1918,"Patricia Brent, Spinster","Jenkins, Herbert George",0,1,1
35617,Fiction,1917,The Terror: A Mystery,"Machen, Arthur",0,1,1
4376,Fiction,1908,Sowing Seeds in Danny,"McClung, Nellie L.",0,1,1
9194,Fiction,1912,The Second Deluge,"Serviss, Garrett Putman",0,1,1
30324,Fiction,1922,The Pathless Trail,"Friel, Arthur O. (Arthur Olney)",0,1,1
10938,Fiction,1859,"The Headsman; Or, The Abbaye des Vignerons","Cooper, James Fenimore",0,1,1
5187,Fiction,1915,Miss Minerva and William Green Hill,"Calhoun, Frances Boyd",0,1,1
12057,Fiction,1910,Yolanda: Maid of Burgundy,"Major, Charles",0,1,1
7788,Fiction,1906,Blindfolded,"Walcott, Earle Ashley",0,1,1
53802,Fiction,1917,Drowsy,"Mitchell, John Ames",0,1,1
42109,Fiction,1902,The Dull Miss Archinard,"Sedgwick, Anne Douglas",0,1,1
9155,Fiction,1893,Heather and Snow,"MacDonald, George",0,1,1
57312,Fiction,1907,The Nether Millstone,"White, Fred M. (Fred Merrick)",0,1,1
6010,Fiction,1898,What's Bred in the Bone,"Allen, Grant",0,1,1
57297,Fiction,1913,Veiled Women,"Pickthall, Marmaduke William",0,1,1
765,Fiction,1919,The Moon Pool,"Merritt, Abraham",0,1,1
13547,Fiction,1914,The Rocks of Valpré,"Dell, Ethel M. (Ethel May)",0,1,1
35505,Fiction,1910,Anna of the Five Towns,"Bennett, Arnold",0,1,1
19225,Fiction,1911,Joyce of the North Woods,"Comstock, Harriet T. (Harriet Theresa)",0,1,1
33065,Fiction,1917,The Indian Drum,"Balmer, Edwin",0,1,1
23736,Fiction,1910,The Dew of Their Youth,"Crockett, S. R. (Samuel Rutherford)",0,1,1
24006,Fiction,1881,Shadows of Shasta,"Miller, Joaquin",0,1,1
33484,Fiction,1882,"Valeria, the Martyr of the Catacombs: A Tale of Early Christian Life in Rome","Withrow, W. H. (William Henry)",0,1,1
36282,Fiction,1918,"Donald McElroy, Scotch Irishman","Caldwell, Willie Walker",0,1,1
3782,Fiction,1922,Huntingtower,"Buchan, John",0,1,1
39606,Fiction,1905,Ande Trembath: A Tale of Old Cornwall England,"Kemp, Matthew Stanley",0,1,1
43121,Fiction,1892,Amethyst: The Story of a Beauty,"Coleridge, Christabel R. (Christabel Rose)",0,1,1
27434,Fiction,1898,Doctor Jones' Picnic,"Chapman, S. E. (Samuel E.)",0,1,1
40181,Fiction,1884,To Leeward,"Crawford, F. Marion (Francis Marion)",0,1,1
10201,Fiction,1919,The Desert of Wheat,"Grey, Zane",0,1,1
37244,Fiction,1902,Kitty's Conquest,"King, Charles",0,1,1
4297,Fiction,1895,Eve's Ransom,"Gissing, George",0,1,1
1195,Fiction,1916,Glasses,"James, Henry",0,1,1
13530,Fiction,1912,Halcyone,"Glyn, Elinor",0,1,1
6305,Fiction,1909,A Fool There Was,"Browne, Porter Emerson",0,1,1
54104,Fiction,1909,The Redemption of Kenneth Galt,"Harben, Will N. (Will Nathaniel)",0,1,1
8664,Fiction,1909,The Glory of the Conquered: The Story of a Great Love,"Glaspell, Susan",0,1,1
4020,Fiction,1914,Arcadian Adventures with the Idle Rich,"Leacock, Stephen",0,1,1
43732,Fiction,1901,The Shoes of Fortune,"Munro, Neil",0,1,1
17180,Fiction,1920,The Riddle of the Frozen Flame,"Hanshew, Mary E.",0,1,1
40527,Fiction,1896,In League with Israel: A Tale of the Chattanooga Conference,"Johnston, Annie F. (Annie Fellows)",0,1,1
53009,Fiction,1897,Patience Sparhawk and Her Times: A Novel,"Atherton, Gertrude Franklin Horn",0,1,1
22530,Fiction,1920,From Place to Place,"Cobb, Irvin S. (Irvin Shrewsbury)",0,1,1
12352,Fiction,1892,"Iola Leroy; Or, Shadows Uplifted","Harper, Frances Ellen Watkins",0,1,1
28579,Fiction,1916,The Homesteaders: A Novel of the Canadian West,"Stead, Robert J. C.",0,1,1
28638,Fiction,1922,Rimrock Trail,"Dunn, J. Allan, (Joseph Allan)",0,1,1
15256,Fiction,1888,"The Young Seigneur: Or, Nation-Making","Lighthall, W. D. (William Douw)",0,1,1
36551,Fiction,1912,The Brute,"Kummer, Frederic Arnold",0,1,1
60860,Fiction,1901,The Crystal Sceptre: A Story of Adventure,"Mighels, Philip Verrill",0,1,1
5008,Fiction,1904,Katherine's Sheaves,"Sheldon, Georgie, Mrs.",0,1,1
23242,Fiction,1921,Laramie Holds the Range,"Spearman, Frank H. (Frank Hamilton)",0,1,1
21759,Fiction,1860,Kate Coventry: An Autobiography,"Whyte-Melville, G. J. (George John)",0,1,1
37412,Fiction,1921,The Empty Sack,"King, Basil",0,1,1
350,Fiction,1917,Fanny Herself,"Ferber, Edna",0,1,1
22819,Fiction,1918,"Elsie Marley, Honey","Gray, Joslyn",0,1,1
746,Fiction,1911,Burning Daylight,"London, Jack",0,1,1
19869,Fiction,1911,While Caroline Was Growing,"Bacon, Josephine Daskam",0,1,1
26520,Fiction,1922,The Fighting Edge,"Raine, William MacLeod",0,1,1
22249,Fiction,1906,Shorty McCabe,"Ford, Sewell",0,1,1
55928,Fiction,1919,The House of Dreams-Come-True,"Pedler, Margaret",0,1,1
1269,Fiction,1917,The Soul of a Bishop,"Wells, H. G. (Herbert George)",0,1,1
9993,Fiction,1914,Captivating Mary Carstairs,"Harrison, Henry Sydnor",0,1,1
1402,Fiction,1927,Where the Blue Begins,"Morley, Christopher",0,1,1
