Book_id,Title,Author,Gender,Source_Lang,Pub_Year,Duplicate,Num_Translations
t0,A Confession,Leo Tolstoy,M,ru,1882,n,2
t1,A Hero Of Our Time,Mikhail Lermontov,M,ru,1840,n,2
t2,A Raw Youth,Fyodor Dostoevsky,M,ru,1875,n,2
t3,Against The Grain,Joris Karl Huysmans,M,fr,1884,n,2
t4,Amerika,Franz Kafka,M,de,1927,n,2
t5,Anna Karenina,Leo Tolstoy,M,ru,1878,n,2
t6,Around The World In Eighty Days,Jules Verne,M,fr,1873,n,2
t7,Bel Ami,Guy De Maupassant,M,fr,1885,n,2
t8,Beware Of Pity,Stefan Zweig,M,de,1939,n,2
t9,Botchan,Natsume Soseki,M,ja,1906,n,2
t10,Brothers Karamazov,Fyodor Dostoevsky,M,ru,1879,n,3
t11,Buddenbrooks,Thomas Mann,M,de,1901,n,2
t12,Call To Arms,Lu Xun,M,zh,1923,n,2
t13,Candide,Voltaire,M,fr,1759,n,2
t14,Crime And Punishment,Fyodor Dostoevsky,M,ru,1866,n,3
t15,Dead Souls,Nikolai Gogol,M,ru,1842,n,4
t16,Death In Venice,Thomas Mann,M,de,1912,n,3
t17,Demons,Fyodor Dostoevsky,M,ru,1871,n,2
t18,Doctor Glass,Hjalmar Soderberg,M,sv,1905,n,2
t19,Dom Casmurro,Machado De Assis,M,pt,1899,n,2
t20,Don Quixote,Miguel De Cervantes,M,es,1605,n,2
t21,Dream Of The Red Chamber,Cao Xueqin,M,zh,1791,n,2
t22,Dream Story,Arthur Schnitzler,M,de,1926,n,2
t23,Elective Affinities,Johann Wolfgang Von Goethe,M,de,1809,n,2
t24,Envy,Yury Olesha,M,ru,1927,n,2
t25,Fathers And Sons,Ivan Turgenev,M,ru,1862,n,3
t26,Gargantua And Pantagruel,François Rabelais,M,fr,1532,n,2
t27,Germinal,Emile Zola,M,fr,1885,n,2
t28,Heidi,Johanna Spyri,F,de,1881,n,3
t29,Hesitation,Lu Xun,M,zh,1926,n,2
t30,Home Of The Gentry,Ivan Turgenev,M,ru,1859,n,2
t31,Hunger,Knut Hamsen,M,no,1890,n,3
t32,In A Grove,Ryunosuke Akutagawa,M,ja,1922,n,2
t33,In The Shadow Of Young Girls In Flower,Marcel Proust,M,fr,1918,n,2
t34,Jacques The Fatalist,Denis Diderot,M,fr,1796,n,2
t35,Journey By Moonlight,Antal Szerb,M,hu,1937,n,2
t36,Kallocain,Karin Boye,F,sv,1940,n,2
t37,Kappa,Ryunosuke Akutagawa,M,ja,1927,n,2
t38,Kokoro,Natsume Soseki,M,ja,1914,n,2
t39,Kristin Lavransdatter 1 The Wreath,Sigrid Undset,F,no,1920,n,2
t40,Kristin Lavransdatter 2 The Wife,Sigrid Undset,F,no,1920,n,2
t41,Kristin Lavransdatter 3 The Cross,Sigrid Undset,F,no,1922,n,2
t42,Kusamakura,Natsume Soseki,M,ja,1906,n,2
t43,Lassommoir,Emile Zola,M,fr,1877,n,2
t44,Les Miserables 1,Victor Hugo,M,fr,1862,n,3
t45,Les Miserables 2,Victor Hugo,M,fr,1862,y,3
t46,Les Miserables 3,Victor Hugo,M,fr,1862,y,3
t47,Madame Bovary,Gustave Flaubert,M,fr,1856,n,2
t48,Manon Lescaut,Antoine François Prevost,M,fr,1731,n,2
